,train_cohort,test_cohort,ROC,PRC,F1,ACC,MCC,mode,best_C,transfer,test_cohort_RGC,positive_transfer,negative_transfer
3563,Ravi-2,Freeman,0.4981060606060605,0.4831907590491349,0.3636363636363636,0.3823529411764705,-0.1787960625070697,CD8,0.1,Ravi-2$\mapsto$Freeman,0.5432525951557093,False,True
3564,Ravi-2,Miao,0.5,0.266494338994339,0.4,0.4705882352941176,0.0154303349962091,CD8,0.1,Ravi-2$\mapsto$Miao,0.5847750865051904,False,True
3565,Ravi-2,Riaz,0.3536585365853658,0.1551248970326252,0.1818181818181818,0.4705882352941176,-0.149849694931454,CD8,0.1,Ravi-2$\mapsto$Riaz,0.6847366397539408,False,True
3566,Ravi-2,Rose,0.410958904109589,0.155534798293715,0.1846153846153846,0.4044943820224719,-0.1652306272762511,CD8,0.1,Ravi-2$\mapsto$Rose,0.7050877414467871,False,True
3567,Ravi-2,Ravi-1,0.3811677631578947,0.2967057808013048,0.3146067415730337,0.4019607843137255,-0.2027767764134531,CD8,0.1,Ravi-2$\mapsto$Ravi-1,0.532487504805844,False,True
3568,Ravi-2,Snyder,0.4591836734693877,0.295322622976316,0.3157894736842105,0.3809523809523809,-0.2041241452319315,CD8,0.1,Ravi-2$\mapsto$Snyder,0.5555555555555555,False,True
3569,Ravi-2,Zhao,0.5909090909090908,0.593635607168889,0.5185185185185185,0.48,-0.0067151913668781,CD8,0.1,Ravi-2$\mapsto$Zhao,0.5072000000000001,False,True
3570,Snyder,Allen,0.636094674556213,0.4260056683534974,0.4666666666666667,0.5897435897435898,0.1462544848254261,CD8,0.1,Snyder$\mapsto$Allen,0.5555555555555556,True,False
3571,Snyder,Choueiri,0.7435897435897436,0.276984126984127,0.4444444444444444,0.6875,0.289414380708153,CD8,0.1,Snyder$\mapsto$Choueiri,0.6953125,False,True
3572,Snyder,Gide,0.8204545454545454,0.8579128515612521,0.7777777777777777,0.7808219178082192,0.5805497942144616,CD8,0.1,Snyder$\mapsto$Gide,0.5045974854569337,True,False
3573,Snyder,Hugo,0.494047619047619,0.511961401364032,0.5714285714285714,0.5384615384615384,0.0714285714285714,CD8,0.1,Snyder$\mapsto$Hugo,0.5029585798816568,True,False
3574,Snyder,IMVigor210,0.5876598465473145,0.2730181069090543,0.3791469194312797,0.5604026845637584,0.1179451517788877,CD8,0.1,Snyder$\mapsto$IMVigor210,0.6477636142516103,False,True
