,loo_sample,feature,exvar
7205,160,CPI_Response,0.0692746095231298
7206,160,CPI_effect,0.008346428074541112
7207,160,Cytokine_chemokine,0.011266442980730651
7208,160,Cytotoxic_Tcell,0.011531373965211755
7209,160,Endothelial,0.026383356639488764
7210,160,Epithelial,0.023754087051891415
7211,160,Erythrocyte,0.010621450430371437
7212,160,Exhausted_Tcell,0.04469197514103118
7213,160,Fibroblast,0.008434044731260415
7214,160,Granulocyte,0.024551291839798428
7215,160,Hepatocyte,0.015680730716171376
7216,160,IFNg_pathway,0.1404890076404972
7217,160,Immune_checkpoint,0.019302901730893773
7218,160,Immune_score,0.04503242745474445
7219,160,Innate_lymphoid_cell,0.00033882502680704363
7220,160,Macrophage,0.02450387440755153
7221,160,Mast,0.002173404542934021
7222,160,Memory_Tcell,0.015908381809694228
7223,160,Mesothelial,0.03771611691501109
7224,160,Monocyte,0.0019805633170680847
7225,160,Myeloid,0.06829948941541064
7226,160,NKcell,0.03158101055435725
7227,160,Naive_Tcell,0.014014129344785853
7228,160,Neutrophil,0.0034539923901799607
7229,160,OS_effect,0.00024114048238010888
7230,160,PLFcell,0.0071861322133147665
7231,160,Pancreatic,0.03456945297949554
7232,160,Platelet,0.024715417925800898
7233,160,Pneumocyte,0.03231798269231301
7234,160,Stem,0.019808365267883654
7235,160,Stroma,0.0005935869761635182
7236,160,TGFb_pathway,0.06992815743787673
7237,160,TLS,0.008190413061880397
7238,160,TMB,0.11009829834716756
7239,160,Tcell_exclusion,0.042629603117363635
7240,160,Tcell_general,1.8645978761000492e-08
7241,160,Treg,0.0024961188515182364
7242,160,cDC,0.0041265296091940185
7243,160,pDC,0.0016549899056744755
7244,160,Reference,0.040734718719468654
7245,161,Adipocyte,0.0013133740852164788
7246,161,Apoptosis_pathway,0.03614533368941708
7247,161,Bcell,0.0023103967582368545
7248,161,CD4_Tcell,0.00034516973986220556
7249,161,CD8_Tcell,0.16256287883576226
7250,161,CPI_Response,0.0687562771715925
7251,161,CPI_effect,0.0083514592879258
7252,161,Cytokine_chemokine,0.011429879599143655
7253,161,Cytotoxic_Tcell,0.011622176870592194
7254,161,Endothelial,0.025449891049365347
7255,161,Epithelial,0.024612228464730435
7256,161,Erythrocyte,0.010523539426530393
7257,161,Exhausted_Tcell,0.04526184200379524
7258,161,Fibroblast,0.007966456263123423
7259,161,Granulocyte,0.025005660651876038
7260,161,Hepatocyte,0.01592635963955813
7261,161,IFNg_pathway,0.14097183062248442
7262,161,Immune_checkpoint,0.019120249638813425
7263,161,Immune_score,0.045131337491462364
7264,161,Innate_lymphoid_cell,0.0003901797721638234
7265,161,Macrophage,0.024376109649135502
7266,161,Mast,0.0026010292431221105
7267,161,Memory_Tcell,0.016027382982477523
7268,161,Mesothelial,0.03862114310078901
7269,161,Monocyte,0.0021630680277743286
7270,161,Myeloid,0.06885609341716492
7271,161,NKcell,0.031162668212973532
7272,161,Naive_Tcell,0.014601530897789927
7273,161,Neutrophil,0.003265015491752732
7274,161,OS_effect,0.00024322523319386669
7275,161,PLFcell,0.006903832240591323
7276,161,Pancreatic,0.033852625047924745
7277,161,Platelet,0.0251059217519225
7278,161,Pneumocyte,0.031932173805535036
7279,161,Stem,0.01968102500719371
7280,161,Stroma,0.0006803404613074937
7281,161,TGFb_pathway,0.07038447448270024
7282,161,TLS,0.00815909249566793
7283,161,TMB,0.11601394875856152
7284,161,Tcell_exclusion,0.04268904938865392
7285,161,Tcell_general,2.4105086611214688e-06
7286,161,Treg,0.0020482029151588366
7287,161,cDC,0.003327352122711069
7288,161,pDC,0.0017921262497754276
7289,161,Reference,0.04111528398571285
7290,162,Adipocyte,0.0017430823168824716
7291,162,Apoptosis_pathway,0.0345129785415943
7292,162,Bcell,0.002003083224673352
7293,162,CD4_Tcell,0.00019697866814072373
7294,162,CD8_Tcell,0.16124390564882907
7295,162,CPI_Response,0.0673453984360568
7296,162,CPI_effect,0.005178171078649374
7297,162,Cytokine_chemokine,0.013389813351942892
7298,162,Cytotoxic_Tcell,0.009330976747439323
7299,162,Endothelial,0.024863818309412422
7300,162,Epithelial,0.023772840126475736
7301,162,Erythrocyte,0.010855482603922884
7302,162,Exhausted_Tcell,0.04300375839887971
7303,162,Fibroblast,0.009757673462772343
7304,162,Granulocyte,0.02386559059700999
7305,162,Hepatocyte,0.015444795138895517
7306,162,IFNg_pathway,0.13382321899663618
7307,162,Immune_checkpoint,0.023171895144437293
7308,162,Immune_score,0.04508760238730791
7309,162,Innate_lymphoid_cell,0.0005709051041360436
7310,162,Macrophage,0.023389305288322282
7311,162,Mast,0.0017205262877411087
7312,162,Memory_Tcell,0.017237442783301526
7313,162,Mesothelial,0.03868761858761194
